,ts_code,symbol,name,area,industry
313,000802.SZ,000802,ST北文,北京,影视音像
314,000803.SZ,000803,北清环能,四川,环境保护
315,000806.SZ,000806,ST银河,广西,电气设备
316,000807.SZ,000807,云铝股份,云南,铝
317,000809.SZ,000809,铁岭新城,辽宁,区域地产
318,000810.SZ,000810,创维数字,四川,家用电器
319,000811.SZ,000811,冰轮环境,山东,工程机械
320,000812.SZ,000812,陕西金叶,陕西,广告包装
321,000813.SZ,000813,德展健康,新疆,化学制药
322,000815.SZ,000815,美利云,宁夏,造纸
323,000816.SZ,000816,智慧农业,江苏,农用机械
324,000818.SZ,000818,航锦科技,辽宁,化工原料
325,000819.SZ,000819,岳阳兴长,湖南,石油加工
326,000820.SZ,000820,*ST节能,辽宁,环境保护
327,000821.SZ,000821,京山轻机,湖北,轻工机械
328,000822.SZ,000822,山东海化,山东,化工原料
329,000823.SZ,000823,超声电子,广东,元器件
330,000825.SZ,000825,太钢不锈,山西,特种钢
331,000826.SZ,000826,启迪环境,湖北,环境保护
332,000828.SZ,000828,东莞控股,广东,路桥
333,000829.SZ,000829,天音控股,江西,其他商业
334,000830.SZ,000830,鲁西化工,山东,农药化肥
335,000831.SZ,000831,五矿稀土,山西,小金属
336,000833.SZ,000833,粤桂股份,广西,食品
337,000835.SZ,000835,*ST长动,四川,影视音像
338,000836.SZ,000836,富通信息,天津,通信设备
339,000837.SZ,000837,秦川机床,陕西,机床制造
340,000838.SZ,000838,财信发展,重庆,区域地产
341,000839.SZ,000839,中信国安,北京,综合类
342,000848.SZ,000848,承德露露,河北,软饮料
343,000850.SZ,000850,华茂股份,安徽,纺织
344,000851.SZ,000851,高鸿股份,贵州,通信设备
345,000852.SZ,000852,石化机械,湖北,化工机械
346,000856.SZ,000856,冀东装备,河北,机械基件
347,000858.SZ,000858,五粮液,四川,白酒
348,000859.SZ,000859,国风塑业,安徽,塑料
349,000860.SZ,000860,顺鑫农业,北京,白酒
350,000861.SZ,000861,海印股份,广东,其他商业
351,000862.SZ,000862,银星能源,宁夏,新型电力
352,000863.SZ,000863,三湘印象,上海,区域地产
353,000868.SZ,000868,安凯客车,安徽,汽车整车
354,000869.SZ,000869,张裕A,山东,红黄酒
355,000875.SZ,000875,吉电股份,吉林,火力发电
356,000876.SZ,000876,新希望,四川,饲料
357,000877.SZ,000877,天山股份,新疆,水泥
358,000878.SZ,000878,云南铜业,云南,铜
359,000880.SZ,000880,潍柴重机,山东,机械基件
360,000881.SZ,000881,中广核技,辽宁,综合类
361,000882.SZ,000882,华联股份,北京,其他商业
362,000883.SZ,000883,湖北能源,湖北,火力发电
363,000885.SZ,000885,城发环境,河南,路桥
364,000886.SZ,000886,海南高速,海南,路桥
365,000887.SZ,000887,中鼎股份,安徽,汽车配件
366,000888.SZ,000888,峨眉山A,四川,旅游景点
367,000889.SZ,000889,中嘉博创,河北,通信设备
368,000890.SZ,000890,法尔胜,江苏,钢加工
369,000892.SZ,000892,欢瑞世纪,重庆,影视音像
370,000893.SZ,000893,亚钾国际,广东,农药化肥
371,000895.SZ,000895,双汇发展,河南,食品
372,000897.SZ,000897,津滨发展,天津,区域地产
373,000898.SZ,000898,鞍钢股份,辽宁,普钢
374,000899.SZ,000899,赣能股份,江西,火力发电
375,000900.SZ,000900,现代投资,湖南,路桥
376,000901.SZ,000901,航天科技,黑龙江,汽车配件
377,000902.SZ,000902,新洋丰,湖北,农药化肥
378,000903.SZ,000903,云内动力,云南,汽车配件
379,000905.SZ,000905,厦门港务,福建,港口
380,000906.SZ,000906,浙商中拓,浙江,批发业
381,000908.SZ,000908,景峰医药,湖南,化学制药
382,000909.SZ,000909,数源科技,浙江,综合类
383,000910.SZ,000910,大亚圣象,江苏,家居用品
384,000911.SZ,000911,南宁糖业,广西,食品
385,000912.SZ,000912,泸天化,四川,农药化肥
